Id,CveName,Score,OriginalScore,CxScore,Severity,PublishDate,References,Description,Cvss2,Cvss3,Cvss4,PackageId,PackageName,PackageVersion,PackageManager,FixResolutionText,NextFixedVersion,LatestFixedVersion,IsIgnored,RiskState,RiskStateLastUpdateDate,RiskStateLastUpdateUser,RiskStateLastUpdateComment,RiskStatus,FirstFoundAt,Kev,Poc,Epss,EpssValue,EpssPercentile,ExploitablePath,ExploitabilityStatus,ExploitabilityReason,ExploitableMethods,Cwe,IsViolatingPolicy,Type,VexState,VexJustification,VexResponse,VexDetail
"CVE-2026-22733","CVE-2026-22733",8.2,8.2,5.56,"High",2026-03-20T00:16:15.000Z,["https://github.com/advisories/GHSA-mgvc-8q2h-5pgc";"https://spring.io/security/cve-2026-22733"],"Spring Boot applications with Actuator can be vulnerable to an 'Authentication Bypass' vulnerability when an application endpoint that requires authentication is declared under the path used by the CloudFoundry Actuator endpoints. This issue affects Spring Security versions 4.0.0 through 4.0.3, 3.5.0 through 3.5.11, 3.4.0 through 3.4.14, 3.3.0 through 3.3.17 and 2.7.0 through 2.7.31.",,{"PrivilegesRequired":"NONE";"UserInteraction":"NONE";"Scope":"UNCHANGED";"Integrity":"LOW";"AttackVector":"NETWORK";"AttackComplexity":"LOW";"Confidentiality":"HIGH";"Availability":"NONE";"ExploitCodeMaturity":null;"RemediationLevel":null;"ReportConfidence":null;"ConfidentialityRequirement":null;"IntegrityRequirement":null;"AvailabilityRequirement":null;"Severity":"High";"BaseScore":"8.2"},,"Maven-org.springframework.boot:spring-boot-starter-actuator-3.4.6","org.springframework.boot:spring-boot-starter-actuator","3.4.6","Maven","3.5.12","3.5.12",,False,"ToVerify",,,,"Recurrent",2026-04-21T08:10:09.100Z,False,False,True,0.00027,0.07641,False,"Not calculated","Exploitable path could not be evaluated because the source code for the relevant package was not available.",[],"CWE-288",False,"Regular",,,,
"CVE-2026-22731","CVE-2026-22731",8.1,8.1,5.62,"High",2026-03-19T23:16:41.000Z,["https://github.com/advisories/GHSA-8hfc-fq58-r658";"https://spring.io/security/cve-2026-22731"],"Spring Boot applications with Actuator can be vulnerable to an 'Authentication Bypass' vulnerability when an application endpoint that requires authentication is declared under a specific path, already configured for a Health Group additional path. This issue affects Spring Boot versions 4.0 through 4.0.3, 3.5 through 3.5.11 and 3.4 through 3.4.14.

This CVE is similar but not equivalent to CVE-2026-22733, as the conditions for exploit and vulnerable versions are different.",,{"PrivilegesRequired":"NONE";"UserInteraction":"NONE";"Scope":"UNCHANGED";"Integrity":"HIGH";"AttackVector":"NETWORK";"AttackComplexity":"HIGH";"Confidentiality":"HIGH";"Availability":"HIGH";"ExploitCodeMaturity":null;"RemediationLevel":null;"ReportConfidence":null;"ConfidentialityRequirement":null;"IntegrityRequirement":null;"AvailabilityRequirement":null;"Severity":"High";"BaseScore":"8.1"},,"Maven-org.springframework.boot:spring-boot-starter-actuator-3.4.6","org.springframework.boot:spring-boot-starter-actuator","3.4.6","Maven","3.5.12","3.5.12",,False,"ToVerify",,,,"Recurrent",2026-04-21T08:10:09.100Z,False,False,True,0.00027,0.07707,False,"Not calculated","Exploitable path could not be evaluated because the source code for the relevant package was not available.",[],"CWE-288",False,"Regular",,,,
