LicenseId,LicenseName,LicenseScore,PackageName,PackageVersion,LicenseReferenceType,LicenseReference,LicenseState,LicenseStateLastUpdateDate,LicenseStateLastUpdateUser,LicenseStateLastUpdateComment
1,"Apache 2.0",3,"com.google.api.grpc:proto-google-common-protos","2.59.2","LicenseFileInJar","https://mvnrepository.com/artifact/com.google.api.grpc/proto-google-common-protos/2.59.2","Effective",2026-04-28T07:50:46.101Z,"System","Checkmarx automatically marked this license as Effective because it is the sole license for this package and it was identified by a reliable source."
1,"Apache 2.0",3,"com.google.code.findbugs:jsr305","3.0.2","PomFile","https://mvnrepository.com/artifact/com.google.code.findbugs/jsr305/3.0.2","Effective",2026-04-28T07:50:46.101Z,"System","Checkmarx automatically marked this license as Effective because it is the sole license for this package and it was identified by a reliable source."
1,"Apache 2.0",3,"com.google.code.gson:gson","2.13.1","LicenseFileInJar","https://mvnrepository.com/artifact/com.google.code.gson/gson/2.13.1","Effective",2026-04-28T07:50:46.101Z,"System","Checkmarx automatically marked this license as Effective because it is the sole license for this package and it was identified by a reliable source."
1,"Apache 2.0",3,"com.google.errorprone:error_prone_annotations","2.36.0","LicenseFileInJar","https://mvnrepository.com/artifact/com.google.errorprone/error_prone_annotations/2.36.0","Effective",2026-04-28T07:50:46.101Z,"System","Checkmarx automatically marked this license as Effective because it is the sole license for this package and it was identified by a reliable source."
1,"Apache 2.0",3,"com.google.guava:failureaccess","1.0.3","LicenseFileInJar","https://mvnrepository.com/artifact/com.google.guava/failureaccess/1.0.3","Effective",2026-04-28T07:50:46.101Z,"System","Checkmarx automatically marked this license as Effective because it is the sole license for this package and it was identified by a reliable source."
1,"Apache 2.0",3,"com.google.guava:guava","33.5.0-jre","LicenseFileInJar","https://mvnrepository.com/artifact/com.google.guava/guava/33.5.0-jre","Effective",2026-04-28T07:50:46.101Z,"System","Checkmarx automatically marked this license as Effective because it is the sole license for this package and it was identified by a reliable source."
1,"Apache 2.0",3,"com.google.guava:listenablefuture","9999.0-empty-to-avoid-conflict-with-guava","PomFile","https://mvnrepository.com/artifact/com.google.guava/listenablefuture/9999.0-empty-to-avoid-conflict-with-guava","Effective",2026-04-28T07:50:46.101Z,"System","Checkmarx automatically marked this license as Effective because it is the sole license for this package and it was identified by a reliable source."
1,"Apache 2.0",3,"com.jayway.jsonpath:json-path","2.9.0","LicenseFileInJar","https://mvnrepository.com/artifact/com.jayway.jsonpath/json-path/2.9.0","Effective",2026-04-28T07:50:46.101Z,"System","Checkmarx automatically marked this license as Effective because it is the sole license for this package and it was identified by a reliable source."
1,"Apache 2.0",3,"commons-codec:commons-codec","1.17.2","LicenseFileInJar","https://mvnrepository.com/artifact/commons-codec/commons-codec/1.17.2","Effective",2026-04-28T07:50:46.101Z,"System","Checkmarx automatically marked this license as Effective because it is the sole license for this package and it was identified by a reliable source."
1,"Apache 2.0",3,"commons-logging:commons-logging","1.2","LicenseFileInJar","https://mvnrepository.com/artifact/commons-logging/commons-logging/1.2","Effective",2026-04-28T07:50:46.101Z,"System","Checkmarx automatically marked this license as Effective because it is the sole license for this package and it was identified by a reliable source."
1,"Apache 2.0",3,"com.vaadin.external.google:android-json","0.0.20131108.vaadin1","LicenseFileInJar","https://mvnrepository.com/artifact/com.vaadin.external.google/android-json/0.0.20131108.vaadin1","Effective",2026-04-28T07:50:46.101Z,"System","Checkmarx automatically marked this license as Effective because it is the sole license for this package and it was identified by a reliable source."
1,"Apache 2.0",3,"com.zaxxer:HikariCP","5.1.0","LicenseFileInJar","https://mvnrepository.com/artifact/com.zaxxer/HikariCP/5.1.0","Effective",2026-04-28T07:50:46.101Z,"System","Checkmarx automatically marked this license as Effective because it is the sole license for this package and it was identified by a reliable source."
1,"Apache 2.0",3,"io.grpc:grpc-api","1.63.0","LicenseFileInJar","https://mvnrepository.com/artifact/io.grpc/grpc-api/1.63.0","Effective",2026-04-28T07:50:46.101Z,"System","Checkmarx automatically marked this license as Effective because it is the sole license for this package and it was identified by a reliable source."
1,"Apache 2.0",3,"io.grpc:grpc-context","1.63.0","PomFile","https://mvnrepository.com/artifact/io.grpc/grpc-context/1.63.0","Effective",2026-04-28T07:50:46.101Z,"System","Checkmarx automatically marked this license as Effective because it is the sole license for this package and it was identified by a reliable source."
1,"Apache 2.0",3,"io.grpc:grpc-core","1.76.0","LicenseFileInJar","https://mvnrepository.com/artifact/io.grpc/grpc-core/1.76.0","Effective",2026-04-28T07:50:46.101Z,"System","Checkmarx automatically marked this license as Effective because it is the sole license for this package and it was identified by a reliable source."
1,"Apache 2.0",3,"io.grpc:grpc-inprocess","1.63.0","LicenseFileInJar","https://mvnrepository.com/artifact/io.grpc/grpc-inprocess/1.63.0","Effective",2026-04-28T07:50:46.101Z,"System","Checkmarx automatically marked this license as Effective because it is the sole license for this package and it was identified by a reliable source."
1,"Apache 2.0",3,"io.grpc:grpc-netty-shaded","1.76.0","PomFile","https://mvnrepository.com/artifact/io.grpc/grpc-netty-shaded/1.76.0","Effective",2026-04-28T07:50:46.101Z,"System","Checkmarx automatically marked this license as Effective because it is the sole license for this package and it was identified by a reliable source."
1,"Apache 2.0",3,"io.grpc:grpc-protobuf","1.76.0","LicenseFileInJar","https://mvnrepository.com/artifact/io.grpc/grpc-protobuf/1.76.0","Effective",2026-04-28T07:50:46.101Z,"System","Checkmarx automatically marked this license as Effective because it is the sole license for this package and it was identified by a reliable source."
1,"Apache 2.0",3,"io.grpc:grpc-protobuf-lite","1.76.0","LicenseFileInJar","https://mvnrepository.com/artifact/io.grpc/grpc-protobuf-lite/1.76.0","Effective",2026-04-28T07:50:46.101Z,"System","Checkmarx automatically marked this license as Effective because it is the sole license for this package and it was identified by a reliable source."
1,"Apache 2.0",3,"io.grpc:grpc-services","1.63.0","LicenseFileInJar","https://mvnrepository.com/artifact/io.grpc/grpc-services/1.63.0","Effective",2026-04-28T07:50:46.101Z,"System","Checkmarx automatically marked this license as Effective because it is the sole license for this package and it was identified by a reliable source."
1,"Apache 2.0",3,"io.grpc:grpc-stub","1.76.0","LicenseFileInJar","https://mvnrepository.com/artifact/io.grpc/grpc-stub/1.76.0","Effective",2026-04-28T07:50:46.101Z,"System","Checkmarx automatically marked this license as Effective because it is the sole license for this package and it was identified by a reliable source."
1,"Apache 2.0",3,"io.grpc:grpc-util","1.63.0","LicenseFileInJar","https://mvnrepository.com/artifact/io.grpc/grpc-util/1.63.0","Effective",2026-04-28T07:50:46.101Z,"System","Checkmarx automatically marked this license as Effective because it is the sole license for this package and it was identified by a reliable source."
1,"Apache 2.0",3,"io.hypersistence:hypersistence-utils-hibernate-63","3.8.2","PomFile","https://mvnrepository.com/artifact/io.hypersistence/hypersistence-utils-hibernate-63/3.8.2","Effective",2026-04-28T07:50:46.101Z,"System","Checkmarx automatically marked this license as Effective because it is the sole license for this package and it was identified by a reliable source."
1,"Apache 2.0",3,"io.micrometer:micrometer-commons","1.14.7","LicenseFileInJar","https://mvnrepository.com/artifact/io.micrometer/micrometer-commons/1.14.7","Effective",2026-04-28T07:50:46.101Z,"System","Checkmarx automatically marked this license as Effective because it is the sole license for this package and it was identified by a reliable source."
1,"Apache 2.0",3,"io.micrometer:micrometer-core","1.14.7","LicenseFileInJar","https://mvnrepository.com/artifact/io.micrometer/micrometer-core/1.14.7","Effective",2026-04-28T07:50:46.101Z,"System","Checkmarx automatically marked this license as Effective because it is the sole license for this package and it was identified by a reliable source."
1,"Apache 2.0",3,"io.micrometer:micrometer-jakarta9","1.14.7","LicenseFileInJar","https://mvnrepository.com/artifact/io.micrometer/micrometer-jakarta9/1.14.7","Effective",2026-04-28T07:50:46.101Z,"System","Checkmarx automatically marked this license as Effective because it is the sole license for this package and it was identified by a reliable source."
1,"Apache 2.0",3,"io.micrometer:micrometer-observation","1.14.7","LicenseFileInJar","https://mvnrepository.com/artifact/io.micrometer/micrometer-observation/1.14.7","Effective",2026-04-28T07:50:46.101Z,"System","Checkmarx automatically marked this license as Effective because it is the sole license for this package and it was identified by a reliable source."
1,"Apache 2.0",3,"io.netty:netty-buffer","4.2.10.Final","LicenseFileInJar","https://mvnrepository.com/artifact/io.netty/netty-buffer/4.2.10.Final","Effective",2026-04-28T07:50:46.101Z,"System","Checkmarx automatically marked this license as Effective because it is the sole license for this package and it was identified by a reliable source."
1,"Apache 2.0",3,"io.netty:netty-codec-base","4.2.10.Final","PomFile","https://mvnrepository.com/artifact/io.netty/netty-codec-base/4.2.10.Final","Effective",2026-04-28T07:50:46.101Z,"System","Checkmarx automatically marked this license as Effective because it is the sole license for this package and it was identified by a reliable source."
1,"Apache 2.0",3,"io.netty:netty-common","4.2.0.RC3","LicenseFileInJar","https://mvnrepository.com/artifact/io.netty/netty-common/4.2.0.RC3","Effective",2026-04-28T07:50:46.101Z,"System","Checkmarx automatically marked this license as Effective because it is the sole license for this package and it was identified by a reliable source."
1,"Apache 2.0",3,"io.netty:netty-handler","4.2.10.Final","LicenseFileInJar","https://mvnrepository.com/artifact/io.netty/netty-handler/4.2.10.Final","Effective",2026-04-28T07:50:46.101Z,"System","Checkmarx automatically marked this license as Effective because it is the sole license for this package and it was identified by a reliable source."
1,"Apache 2.0",3,"io.netty:netty-resolver","4.2.10.Final","LicenseFileInJar","https://mvnrepository.com/artifact/io.netty/netty-resolver/4.2.10.Final","Effective",2026-04-28T07:50:46.101Z,"System","Checkmarx automatically marked this license as Effective because it is the sole license for this package and it was identified by a reliable source."
1,"Apache 2.0",3,"io.netty:netty-transport","4.2.10.Final","LicenseFileInJar","https://mvnrepository.com/artifact/io.netty/netty-transport/4.2.10.Final","Effective",2026-04-28T07:50:46.101Z,"System","Checkmarx automatically marked this license as Effective because it is the sole license for this package and it was identified by a reliable source."
